Fecha;Valor UF
11-jun-22;32,837.81
10-jun-22;32,824.76
09-jun-22;32,811.71
08-jun-22;32,797.00
07-jun-22;32,782.29
06-jun-22;32,767.60
05-jun-22;32,752.90
04-jun-22;32,738.22
03-jun-22;32,723.54
02-jun-22;32,708.87
01-jun-22;32,694.20
31-may-22;32,679.54
30-may-22;32,664.89
29-may-22;32,650.24
28-may-22;32,635.60
27-may-22;32,620.97
26-may-22;32,606.34
25-may-22;32,591.72
24-may-22;32,577.11
23-may-22;32,562.50
22-may-22;32,547.90
21-may-22;32,533.31
20-may-22;32,518.72
19-may-22;32,504.14
18-may-22;32,489.56
17-may-22;32,475.00
16-may-22;32,460.44
15-may-22;32,445.88
14-may-22;32,431.33
13-may-22;32,416.79
12-may-22;32,402.26
11-may-22;32,387.73
10-may-22;32,373.21
09-may-22;32,358.69
08-may-22;32,338.40
07-may-22;32,318.11
06-may-22;32,297.84
05-may-22;32,277.59
04-may-22;32,257.34
03-may-22;32,237.11
02-may-22;32,216.89
01-may-22;32,196.69
30-abr-22;32,176.49
29-abr-22;32,156.31
28-abr-22;32,136.14
27-abr-22;32,115.99
26-abr-22;32,095.84
25-abr-22;32,075.71
24-abr-22;32,055.60
23-abr-22;32,035.49
22-abr-22;32,015.40
21-abr-22;31,995.32
20-abr-22;31,975.25
19-abr-22;31,955.20
18-abr-22;31,935.15
17-abr-22;31,915.12
16-abr-22;31,895.11
15-abr-22;31,875.10
14-abr-22;31,855.11
13-abr-22;31,835.13
12-abr-22;31,815.17
11-abr-22;31,795.21
10-abr-22;31,775.27
09-abr-22;31,755.34
08-abr-22;31,752.27
07-abr-22;31,749.20
06-abr-22;31,746.14
05-abr-22;31,743.07
04-abr-22;31,740.00
03-abr-22;31,736.94
02-abr-22;31,733.87
01-abr-22;31,730.80
31-mar-22;31,727.74
30-mar-22;31,724.67
29-mar-22;31,721.61
28-mar-22;31,718.54
27-mar-22;31,715.48
26-mar-22;31,712.41
25-mar-22;31,709.35
24-mar-22;31,706.28
23-mar-22;31,703.22
22-mar-22;31,700.16
21-mar-22;31,697.09
20-mar-22;31,694.03
19-mar-22;31,690.97
18-mar-22;31,687.91
17-mar-22;31,684.84
16-mar-22;31,681.78
15-mar-22;31,678.72
14-mar-22;31,675.66
13-mar-22;31,672.60
12-mar-22;31,669.54
11-mar-22;31,666.48
10-mar-22;31,663.42
09-mar-22;31,660.36
08-mar-22;31,646.87
07-mar-22;31,633.39
06-mar-22;31,619.92
05-mar-22;31,606.45
04-mar-22;31,592.99
03-mar-22;31,579.53
02-mar-22;31,566.08
01-mar-22;31,552.64
28-feb-22;31,539.20
27-feb-22;31,525.77
26-feb-22;31,512.34
25-feb-22;31,498.92
24-feb-22;31,485.50
23-feb-22;31,472.09
22-feb-22;31,458.68
21-feb-22;31,445.29
20-feb-22;31,431.89
19-feb-22;31,418.50
18-feb-22;31,405.12
17-feb-22;31,391.75
16-feb-22;31,378.38
15-feb-22;31,365.01
14-feb-22;31,351.65
13-feb-22;31,338.30
12-feb-22;31,324.95
11-feb-22;31,311.61
10-feb-22;31,298.27
09-feb-22;31,284.94
08-feb-22;31,276.90
07-feb-22;31,268.86
06-feb-22;31,260.83
05-feb-22;31,252.79
04-feb-22;31,244.76
03-feb-22;31,236.73
02-feb-22;31,228.70
01-feb-22;31,220.68
31-ene-22;31,212.65
30-ene-22;31,204.63
29-ene-22;31,196.61
28-ene-22;31,188.59
27-ene-22;31,180.58
26-ene-22;31,172.57
25-ene-22;31,164.55
24-ene-22;31,156.54
23-ene-22;31,148.54
22-ene-22;31,140.53
21-ene-22;31,132.53
20-ene-22;31,124.53
19-ene-22;31,116.53
18-ene-22;31,108.53
17-ene-22;31,100.54
16-ene-22;31,092.54
15-ene-22;31,084.55
14-ene-22;31,076.56
13-ene-22;31,068.58
12-ene-22;31,060.59
11-ene-22;31,052.61
10-ene-22;31,044.63
09-ene-22;31,036.65
08-ene-22;31,031.66
07-ene-22;31,026.67
06-ene-22;31,021.67
05-ene-22;31,016.68
04-ene-22;31,011.69
03-ene-22;31,006.71
02-ene-22;31,001.72
01-ene-22;30,996.73
31-dic-21;30,991.74
30-dic-21;30,986.76
29-dic-21;30,981.77
28-dic-21;30,976.79
27-dic-21;30,971.80
26-dic-21;30,966.82
25-dic-21;30,961.84
24-dic-21;30,956.86
23-dic-21;30,951.88
22-dic-21;30,946.90
21-dic-21;30,941.92
20-dic-21;30,936.94
19-dic-21;30,931.97
18-dic-21;30,926.99
17-dic-21;30,922.01
16-dic-21;30,917.04
15-dic-21;30,912.07
14-dic-21;30,907.09
13-dic-21;30,902.12
12-dic-21;30,897.15
11-dic-21;30,892.18
10-dic-21;30,887.21
